id,name,description,created_at,updated_at
1,MSC,Describe MSC,2025-09-13 13:54:43+00:00,2025-09-13 13:54:43+00:00
2,APL,Describe APL,2025-09-13 13:55:00+00:00,2025-09-13 13:55:00+00:00
3,WEC,Describe WEC,2025-09-13 13:55:46+00:00,2025-09-13 13:55:46+00:00
4,CMSCGM,Describe CMACGM,2025-09-13 13:56:13+00:00,2025-09-13 13:56:13+00:00
5,CLS,Describe CLS,2025-09-13 13:57:22+00:00,2025-09-13 13:57:22+00:00
6,OOCL,Describe OOCL,2025-09-13 13:58:02+00:00,2025-09-13 13:58:02+00:00
7,MS,Describe MS,2025-09-13 13:58:47+00:00,2025-09-13 13:58:47+00:00
8,UMSC,Describe UMSC,2025-09-13 13:59:00+00:00,2025-09-13 13:59:00+00:00
9,CMACGM,Describe CMACGM,2025-10-08 09:00:03.873725+00:00,2025-10-08 11:16:51.423533+00:00
