"inventory_type_id","inventory_type_description","min_order_qty","price_per_unit","inventory_sub_type","discount","min_variance","max_variance","auto_renewal_flag","erp_inventory_id","pickup_location_id","umo_value","category","face_value","min_variance_disc","max_variance_disc","tax_plan","dealer_discount","return_policy","due_date","ziada_points","esd_signature","batch_size","prefix","serial_counter","pallet_size","available","w_period","prod_family","price_group","work_category","equip_type","used_stock","sim_card","item_type","vendor_id","type_id","damage_code","service_code","v_item_type","used_item_code","w_avg_ucost","calc_wac","quantity","add_date","prevwavg_ucost","mod_date","v_item_code","v_item_no","available_date","expiry_date","consigment_po","status","DEPOSIT_PRICE","ADD_BY","MOD_BY","national_material_code","wg_material_code","SUB_CATEGORY","weight","return_flag","color","size","is_bundle","parent_id","send_to_bi","remarks"
29.0,Micr Sim 5G LD,1.0,10.0,P,5.0,,,Y,SIM00521,,,sim,,,,101.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,2022-06-13 07:35:04.000,,,2021-12-31 23:00:00.000,2099-12-30 23:00:00.000,,,,,,,,Non Voucher Product,1,Y,"",,"",,,
30.0,Voucher card 10 ETB,1.0,10.0,P,0.0,,,Y,VC10,,,physical voucher,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2022-01-01 00:00:00.000,2099-12-31 00:00:00.000,,1,,,,,,Voucher Product,1,,,,,,,
31.0,Galaxy A23 LTE Dual Sim 4+64GB White,1.0,10.0,P,0.0,,,Y,ETD20038,,,device,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-07-21 15:53:55.000,,,,,2022-07-21 15:53:55.000,2100-01-31 12:00:00.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,,,,
32.0,Ethiopia Pinless Top-Up,1.0,0.0,L,0.0,,,N,EVP00001,,,etopup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2025-11-04 17:48:44.000,,,,,2025-11-04 17:48:44.000,2099-12-31 12:00:00.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,,,,
33.0,Ethiopia Sim card 128kb,1.0,0.0,P,0.0,,,Y,ETA00000,,,sim,,,,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2025-01-29 15:33:07.000,,2022-07-05 15:04:21.000,,,2025-01-29 15:33:07.000,2099-12-31 12:00:00.000,,1,0,erp,,,,Non Voucher Product,1,Y,,,"",,,
34.0,Galaxy A23 LTE DS 4+128GB,1.0,10.0,P,0.0,,,Y,ETD20009,,,device,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-12-31 23:00:00.000,2099-12-30 23:00:00.000,,1,,,,,,Non Voucher Product,1,Y,,,,,,
35.0,Safaricom ET  Awaze 2G Feature - Teleone,1.0,10.0,P,0.0,,,Y,ETD20004,,,device,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-12-31 23:00:00.000,2099-12-30 23:00:00.000,,1,,,,,,Non Voucher Product,1,Y,,,,,,
36.0,Ethiopia Electronic Voucher 200,1.0,10.0,L,0.0,,,Y,EVD00200,,,evd voucher,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-12-31 23:00:00.000,2099-12-30 23:00:00.000,,1,,,,,,Voucher Product,1,Y,,,,,,
37.0,Ethiopia Recharge Voucher 25,1.0,10.0,P,0.0,,,Y,EVC00025,,,physical voucher,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-12-31 23:00:00.000,2099-12-30 23:00:00.000,,1,,,,,,Voucher Product,1,Y,,,,,,
46.0,Accesories,1.0,2000.0,P,0.0,0.0,0.0,N,U908E290,,,accessories,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2022-05-06 08:41:32.000,,2022-06-03 09:24:58.000,,,2022-05-05 23:00:00.000,2099-12-30 23:00:00.000,,,,aadmin,,,,Non Voucher Product,1,Y,"","","",,,
